pib_pc_2015;Perc_rec_ext_2015;receitas_realizadas_2014_x1000;despesas_realizadas_2014_x1000;Pop_econ_ativa_18_mais;Perc_ocupados_setor_agrop;Perc_ocupados_setor_comercio;Perc_ocupados_setor_construcao ;Perc_ocupados_setor_extr_mineral;Perc_ocup_setores_serv_ind_util_pub;Perc_ocupados_setor_servicos;Perc_ocupados_industria_transf;grau_formal_trab_pes_ocupadas;Perc_ocup_fund_comp;Perc_ocup_medio_comp;Perc_ocup_superior_comp;Atv_maior_valor;Atv_segmaior_valor;Atv_tercmaior
36090,79;;;;1058;32,83;5,77;5,87;0,18;0,41;36,72;1,20;40,53;55,85;35,76;9,41;Agricultura, inclusive apoio à agricultura e a pós colheita;Construção;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
14045,72;83;16662;13997;2395;27,19;14,74;3,89;1,24;0,37;37,34;11,82;51,66;52,41;35,37;8,41;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
17130,87;96;16311;16207;1535;49,93;3,53;2,31;0,00;0,66;32,46;4,16;31,38;45,86;23,53;6,84;Pecuária, inclusive apoio à pecuária;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Indústrias de transformação
38817,83;57,7;579264;524876;100321;7,67;19,48;8,70;0,31;0,95;46,00;10,08;64,12;66,65;48,02;15,00;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas
15334,31;;;;8038;36,50;6,76;4,09;1,44;0,68;29,28;3,90;41,00;41,66;28,20;7,49;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
15701,61;93,3;;;1618;46,67;7,39;5,68;1,03;0,12;32,19;3,11;41,33;47,59;31,21;7,27;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
51003,81;82,1;18831;16434;1921;42,70;9,14;5,11;0,00;0,61;33,57;7,21;46,97;55,62;30,47;9,12;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
31644,04;93,5;;;924;40,24;7,16;3,88;0,00;0,43;38,56;4,31;47,75;46,94;29,21;8,56;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
124957,69;85,6;22539;19212;1303;54,78;7,65;3,88;0,00;0,00;31,03;0,76;67,97;53,07;36,47;8,94;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
12447,75;81;;;2752;49,58;6,08;2,01;0,00;0,27;30,43;2,66;31,25;46,88;22,73;8,15;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
19219,11;94,8;;;1240;46,73;4,78;4,96;0,00;0,42;33,26;4,81;46,12;55,06;35,89;8,94;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
65413,13;84,1;20924;15105;1464;46,82;11,04;3,86;0,00;0,00;35,66;1,41;62,60;46,48;29,10;6,33;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
23124,26;;;;7338;38,13;10,20;5,79;0,37;1,24;33,05;4,12;47,85;45,92;28,00;6,97;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
42470,7;;36903;31545;4210;30,92;10,76;4,94;0,22;0,23;39,83;3,35;39,62;52,05;33,58;10,32;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
9825,77;85,8;;;1368;43,27;6,63;2,89;0,00;0,00;41,16;0,43;41,65;50,99;37,10;11,80;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
27860,55;85,4;43145;37365;8455;31,17;10,87;4,48;0,23;0,14;31,94;13,73;58,61;43,43;26,59;7,62;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
35923,14;88,9;19542;16539;2189;43,87;11,80;5,97;0,26;0,22;28,89;4,42;48,95;35,08;20,62;5,29;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária
17917,02;85,1;39074;34764;8708;24,91;13,89;6,52;0,23;0,66;34,00;14,46;55,09;54,73;38,65;8,86;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Indústrias de transformação
9714,54;82,5;11971;11022;1815;23,87;6,47;3,08;1,16;0,85;32,19;26,62;80,40;47,58;30,63;6,10;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Construção;Demais serviços
84328,92;;;;9443;31,10;13,82;5,92;0,43;0,68;33,57;6,63;75,97;60,15;39,32;10,07;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
15744,34;94,6;;;590;32,27;4,41;1,83;1,41;0,69;44,20;1,03;28,45;51,64;31,00;6,25;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
34075,81;51,4;329015;258963;59699;13,53;21,67;9,12;0,36;0,69;40,06;10,64;64,36;62,20;44,03;11,98;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
57976,91;66,1;238118;204617;33848;15,75;15,02;11,41;0,31;0,45;43,12;6,56;63,10;56,89;36,07;11,09;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
35494,74;81,4;31725;26019;4622;37,71;11,15;4,95;0,00;0,14;29,47;8,62;46,01;48,78;27,01;5,21;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
26327,27;62,3;200071;176653;41361;13,93;18,96;9,31;0,14;0,90;39,41;9,81;64,31;58,42;39,83;11,38;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
53987,21;76,9;;;4891;36,48;10,83;8,82;0,12;0,17;28,47;4,54;66,24;54,19;32,13;9,04;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
20654,04;84,3;30658;27718;6021;47,32;9,97;2,86;0,35;0,11;25,94;4,74;43,67;44,82;28,92;7,61;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
28419,65;89,4;;;1383;39,63;5,74;4,83;0,31;0,00;36,67;2,88;50,85;44,99;31,71;7,44;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
23237,63;;;;1716;36,96;7,67;6,98;0,60;0,86;37,43;1,02;49,24;60,40;39,76;11,31;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
30348,95;90;16129;13719;1685;38,11;9,76;3,13;0,00;0,00;34,43;12,14;44,42;42,72;26,16;6,34;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
16597,41;93,9;13750;12202;1200;48,96;8,97;4,67;1,29;0,00;30,62;1,68;26,51;45,91;26,50;6,64;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
23333,5;63,3;;;123271;2,77;18,97;8,18;0,43;0,91;45,66;10,24;62,06;66,30;46,01;10,05;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
36310,76;78,3;29679;30865;4630;36,05;10,86;4,49;0,00;0,32;32,50;9,17;55,78;47,63;24,89;5,95;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social
25195,42;76,4;54413;54264;5171;47,13;7,97;3,60;1,07;0,43;29,54;2,13;41,33;44,11;28,41;6,12;Indústrias extrativas;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária
16092,39;77,9;45001;39209;9644;41,67;14,68;5,84;0,00;0,11;28,35;5,93;39,09;47,96;27,12;6,10;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
